epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,393.983,1.38896,2.33128,1.69651,0.69636,0.51069,0.54904,0.26372,1.58024,2.7104,2.11777,0.000548543,0.000548543,0.000548543
2,826.528,1.39446,1.84958,1.64944,0.39134,0.51279,0.47825,0.20652,1.78444,2.64744,2.54483,0.00104955,0.00104955,0.00104955
3,1262.41,1.40888,1.65905,1.68259,0.49179,0.463,0.38791,0.13237,2.25208,2.99898,2.73729,0.00149555,0.00149555,0.00149555
4,1685.96,1.40896,1.51728,1.6507,0.74706,0.66792,0.7235,0.34365,1.72346,1.73327,2.2269,0.00141945,0.00141945,0.00141945
5,2103.76,1.37028,1.47161,1.65571,0.70561,0.60675,0.70266,0.37197,1.59533,1.49361,2.13403,0.00133693,0.00133693,0.00133693
6,2526.27,1.33164,1.35633,1.61784,0.71197,0.70472,0.75017,0.40192,1.5234,1.37402,1.92776,0.00125442,0.00125442,0.00125442
7,2943.49,1.33224,1.26354,1.61626,0.84311,0.70547,0.80662,0.45083,1.39225,1.24787,1.84064,0.0011719,0.0011719,0.0011719
8,4846.63,1.3067,1.25042,1.58056,0.85778,0.75963,0.82956,0.48954,1.36573,1.15205,1.80024,0.00108938,0.00108938,0.00108938
9,5220.75,1.28583,1.20324,1.55997,0.78364,0.72411,0.78966,0.47837,1.37916,1.22568,1.83191,0.00100687,0.00100687,0.00100687
10,5612.26,1.26018,1.19413,1.53781,0.74845,0.67175,0.76545,0.4358,1.46507,1.29367,1.9061,0.000924352,0.000924352,0.000924352
11,6015.34,1.2115,1.12397,1.62909,0.8133,0.76162,0.82007,0.49507,1.33771,1.14352,1.76514,0.000841835,0.000841835,0.000841835
12,6413.01,1.13079,0.98682,1.5794,0.83903,0.80086,0.86324,0.55438,1.24226,0.98358,1.69215,0.000759318,0.000759318,0.000759318
13,6809.14,1.1129,0.94016,1.57271,0.83924,0.81649,0.85164,0.55156,1.19603,0.96308,1.61056,0.000676802,0.000676802,0.000676802
14,7203.62,1.09715,0.91117,1.53679,0.8459,0.82006,0.87252,0.56306,1.20927,0.95008,1.63492,0.000594286,0.000594286,0.000594286
15,7601.01,1.07034,0.87758,1.50657,0.83393,0.83849,0.88755,0.58298,1.15292,0.85549,1.58319,0.000511769,0.000511769,0.000511769
16,7999.78,1.04382,0.84071,1.48718,0.85496,0.85872,0.88562,0.59469,1.15961,0.8781,1.59204,0.000429253,0.000429253,0.000429253
17,8395.81,1.02379,0.80681,1.47823,0.86625,0.81532,0.89465,0.58745,1.12793,0.83219,1.57099,0.000346736,0.000346736,0.000346736
18,8843.71,1.01592,0.79466,1.46985,0.8688,0.84751,0.90171,0.61681,1.09328,0.8131,1.52962,0.00026422,0.00026422,0.00026422
19,9287.52,1.00255,0.77273,1.44523,0.87153,0.82874,0.90597,0.62139,1.06708,0.79059,1.49877,0.000181703,0.000181703,0.000181703
20,9971.91,0.95851,0.74199,1.42665,0.82343,0.88332,0.90137,0.61188,1.06964,0.80368,1.49256,9.91865e-05,9.91865e-05,9.91865e-05
